airline,origin_city,origin_iata_code,destination_city,destination_iata_code,direct,active,seasonal_route,start_date
AS,Albuquerque,ABQ,Anchorage,ANC,FALSE,TRUE,,
AS,Albuquerque,ABQ,Portland,PDX,TRUE,TRUE,,
AS,Albuquerque,ABQ,Seattle,SEA,TRUE,TRUE,,
AS,Albuquerque,ABQ,San Francisco,SFO,FALSE,TRUE,,
AS,Albuquerque,ABQ,Santa Ana,SNA,FALSE,TRUE,,
AS,Adak,ADK,Anchorage,ANC,TRUE,TRUE,,
AS,Adak,ADK,Seattle,SEA,FALSE,TRUE,,
AS,Kodiak,ADQ,Anchorage,ANC,TRUE,TRUE,,
AS,Kodiak,ADQ,Bozeman,BZN,FALSE,TRUE,,
AS,Kodiak,ADQ,Ontario,ONT,FALSE,TRUE,,
AS,Kodiak,ADQ,Redding,RDD,FALSE,TRUE,,
AS,Kodiak,ADQ,Reno,RNO,FALSE,TRUE,,
AS,Kodiak,ADQ,San Luis Obispo,SBP,FALSE,TRUE,,
AS,Kodiak,ADQ,Seattle,SEA,FALSE,TRUE,,
AS,Kodiak,ADQ,Sacramento,SMF,FALSE,TRUE,,
AS,Kodiak,ADQ,Santa Rosa,STS,FALSE,TRUE,,
AS,King Salmon,AKN,Anchorage,ANC,TRUE,TRUE,,
AS,King Salmon,AKN,Bozeman,BZN,FALSE,TRUE,,
AS,King Salmon,AKN,Dillingham,DLG,TRUE,TRUE,,
AS,King Salmon,AKN,Ontario,ONT,FALSE,TRUE,,
AS,King Salmon,AKN,Redding,RDD,FALSE,TRUE,,
AS,King Salmon,AKN,Reno,RNO,FALSE,TRUE,,
AS,King Salmon,AKN,Seattle,SEA,FALSE,TRUE,,
AS,King Salmon,AKN,Sacramento,SMF,FALSE,TRUE,,
AS,King Salmon,AKN,Santa Rosa,STS,FALSE,TRUE,,
AS,Walla Walla,ALW,Seattle,SEA,TRUE,TRUE,,
AS,Anchorage,ANC,Albuquerque,ABQ,FALSE,TRUE,,
AS,Anchorage,ANC,Adak,ADK,TRUE,TRUE,,
AS,Anchorage,ANC,Kodiak,ADQ,TRUE,TRUE,,
AS,Anchorage,ANC,King Salmon,AKN,TRUE,TRUE,,
AS,Anchorage,ANC,Atlanta,ATL,FALSE,TRUE,,
AS,Anchorage,ANC,Austin,AUS,FALSE,TRUE,,
AS,Anchorage,ANC,Bethel,BET,TRUE,TRUE,,
AS,Anchorage,ANC,Nashville,BNA,FALSE,TRUE,,
AS,Anchorage,ANC,Boise,BOI,FALSE,TRUE,,
AS,Anchorage,ANC,Boston,BOS,FALSE,TRUE,,
AS,Anchorage,ANC,Barrow,BRW,TRUE,TRUE,,
AS,Anchorage,ANC,Baltimore,BWI,FALSE,TRUE,,
AS,Anchorage,ANC,Bozeman,BZN,FALSE,TRUE,,
AS,Anchorage,ANC,Cordova,CDV,TRUE,TRUE,,
AS,Anchorage,ANC,Columbus,CMH,FALSE,TRUE,,
AS,Anchorage,ANC,"Washington, D.C.",DCA,FALSE,TRUE,,
AS,Anchorage,ANC,Denver,DEN,TRUE,TRUE,TRUE,
AS,Anchorage,ANC,Dallas,DFW,FALSE,TRUE,,
AS,Anchorage,ANC,Dillingham,DLG,TRUE,TRUE,,
AS,Anchorage,ANC,Detroit,DTW,TRUE,TRUE,,6/14/2025
AS,Anchorage,ANC,Dutch Harbor,DUT,FALSE,TRUE,,
AS,Anchorage,ANC,Newark,EWR,FALSE,TRUE,,
AS,Anchorage,ANC,Fairbanks,FAI,TRUE,TRUE,,
AS,Anchorage,ANC,Fort Lauderdale,FLL,FALSE,TRUE,,
AS,Anchorage,ANC,Spokane,GEG,FALSE,TRUE,,
AS,Anchorage,ANC,Honolulu,HNL,TRUE,TRUE,,
AS,Anchorage,ANC,"Washington, D.C.",IAD,FALSE,TRUE,,
AS,Anchorage,ANC,Houston,IAH,FALSE,TRUE,,
AS,Anchorage,ANC,Indianapolis,IND,FALSE,TRUE,,
AS,Anchorage,ANC,New York,JFK,TRUE,TRUE,TRUE,
AS,Anchorage,ANC,Juneau,JNU ,TRUE,TRUE,,
AS,Anchorage,ANC,Kona,KOA,TRUE,TRUE,TRUE,
AS,Anchorage,ANC,Ketchikan,KTN,FALSE,TRUE,,
AS,Anchorage,ANC,Las Vegas,LAS,TRUE,TRUE,,
AS,Anchorage,ANC,Los Angeles,LAX,TRUE,TRUE,,
AS,Anchorage,ANC,Kansas City,MCI,FALSE,TRUE,,
AS,Anchorage,ANC,Orlando,MCO,FALSE,TRUE,,
AS,Anchorage,ANC,Minneapolis–Saint Paul,MSP,TRUE,TRUE,TRUE,
AS,Anchorage,ANC,New Orleans,MSY,FALSE,TRUE,,
AS,Anchorage,ANC,Oakland,OAK,FALSE,TRUE,,
AS,Anchorage,ANC,Maui,OGG,TRUE,TRUE,TRUE,
AS,Anchorage,ANC,Oklahoma City,OKC,FALSE,TRUE,,
AS,Anchorage,ANC,Omaha,OMA,FALSE,TRUE,,
AS,Anchorage,ANC,Nome,OME,TRUE,TRUE,,
AS,Anchorage,ANC,Ontario,ONT,FALSE,TRUE,,
AS,Anchorage,ANC,Chicago,ORD,TRUE,TRUE,,
AS,Anchorage,ANC,Kotzebue,OTZ,TRUE,TRUE,,
AS,Anchorage,ANC,Everett,PAE,TRUE,TRUE,,
AS,Anchorage,ANC,Portland,PDX,TRUE,TRUE,,
AS,Anchorage,ANC,Philadelphia,PHL,FALSE,TRUE,,
AS,Anchorage,ANC,Phoenix,PHX,TRUE,TRUE,,
AS,Anchorage,ANC,Pittsburgh,PIT,FALSE,TRUE,,
AS,Anchorage,ANC,Palm Springs,PSP,FALSE,TRUE,,
AS,Anchorage,ANC,Redding,RDD,FALSE,TRUE,,
AS,Anchorage,ANC,Reno,RNO,FALSE,TRUE,,
