airline,origin_city,origin_iata_code,destination_city,destination_iata_code,direct,active,seasonal_route,start_date
B6,New York,JFK,Albuquerque,ABQ,TRUE,TRUE,TRUE,
B6,Boston,BOS,Nantucket,ACK,TRUE,TRUE,TRUE,
B6,Washington–National,DCA,Nantucket,ACK,TRUE,TRUE,TRUE,
B6,Westchester,HPN,Nantucket,ACK,TRUE,TRUE,TRUE,
B6,New York,JFK,Nantucket,ACK,TRUE,TRUE,TRUE,
B6,New York–LaGuardia,LGA,Nantucket,ACK,TRUE,TRUE,TRUE,
B6,Fort Lauderdale,FLL,Albany,ALB,TRUE,TRUE,,
B6,Orlando,MCO,Albany,ALB,TRUE,TRUE,,
B6,Boston,BOS,Amsterdam,AMS,TRUE,TRUE,TRUE,
B6,New York,JFK,Amsterdam,AMS,TRUE,TRUE,,
B6,New York,JFK,Antigua,ANU,TRUE,TRUE,,
B6,Boston,BOS,Atlanta,ATL,TRUE,TRUE,,
B6,New York,JFK,Atlanta,ATL,TRUE,TRUE,,
B6,Boston,BOS,Aruba,AUA,TRUE,TRUE,,
B6,Newark,EWR,Aruba,AUA,TRUE,TRUE,,
B6,New York,JFK,Aruba,AUA,TRUE,TRUE,,
B6,Boston,BOS,Austin,AUS,TRUE,TRUE,,
B6,New York,JFK,Austin,AUS,TRUE,TRUE,TRUE,
B6,Boston,BOS,Asheville,AVL,TRUE,TRUE,TRUE,
B6,Boston,BOS,Bermuda,BDA,TRUE,TRUE,,
B6,New York,JFK,Bermuda,BDA,TRUE,TRUE,TRUE,
B6,Fort Lauderdale,FLL,Hartford,BDL,TRUE,TRUE,,
B6,New York,JFK,Hartford,BDL,TRUE,TRUE,,
B6,Los Angeles,LAX,Hartford,BDL,TRUE,TRUE,TRUE,
B6,Orlando,MCO,Hartford,BDL,TRUE,TRUE,,
B6,West Palm Beach,PBI,Hartford,BDL,TRUE,TRUE,,
B6,Fort Myers,RSW,Hartford,BDL,TRUE,TRUE,TRUE,
B6,San Juan,SJU,Hartford,BDL,TRUE,TRUE,,
B6,Tampa,TPA,Hartford,BDL,TRUE,TRUE,,
B6,Boston,BOS,Barbados,BGI,TRUE,TRUE,,
B6,New York,JFK,Barbados,BGI,TRUE,TRUE,,
B6,Boston,BOS,Nashville,BNA,TRUE,TRUE,,
B6,New York,JFK,Nashville,BNA,TRUE,TRUE,,
B6,New York,JFK,Bonaire,BON,TRUE,TRUE,,
B6,Nantucket,ACK,Boston,BOS,TRUE,TRUE,TRUE,
B6,Amsterdam,AMS,Boston,BOS,TRUE,TRUE,TRUE,
B6,Atlanta,ATL,Boston,BOS,TRUE,TRUE,,
B6,Aruba,AUA,Boston,BOS,TRUE,TRUE,,
B6,Austin,AUS,Boston,BOS,TRUE,TRUE,,
B6,Asheville,AVL,Boston,BOS,TRUE,TRUE,,
B6,Bermuda,BDA,Boston,BOS,TRUE,TRUE,,
B6,Barbados,BGI,Boston,BOS,TRUE,TRUE,,
B6,Nashville,BNA,Boston,BOS,TRUE,TRUE,,
B6,Buffalo,BUF,Boston,BOS,TRUE,TRUE,,
B6,Bozeman,BZN,Boston,BOS,TRUE,TRUE,TRUE,
B6,Paris–Charles de Gaulle,CDG,Boston,BOS,TRUE,TRUE,,
B6,Charleston (SC),CHS,Boston,BOS,TRUE,TRUE,,
B6,Cleveland,CLE,Boston,BOS,TRUE,TRUE,,
B6,Cancún,CUN,Boston,BOS,TRUE,TRUE,,
B6,Washington–National,DCA,Boston,BOS,TRUE,TRUE,,
B6,Denver,DEN,Boston,BOS,TRUE,TRUE,,
B6,Dallas/Fort Worth,DFW,Boston,BOS,TRUE,TRUE,,
B6,Detroit,DTW,Boston,BOS,TRUE,TRUE,,
B6,Dublin,DUB,Boston,BOS,TRUE,TRUE,TRUE,
B6,Key West,EYW,Boston,BOS,TRUE,TRUE,TRUE,
B6,Fort Lauderdale,FLL,Boston,BOS,TRUE,TRUE,,
B6,Grand Cayman,GCM,Boston,BOS,TRUE,TRUE,TRUE,
B6,Grenada,GND,Boston,BOS,TRUE,TRUE,,
B6,Hayden/Steamboat Springs,HDN,Boston,BOS,TRUE,TRUE,TRUE,
B6,Houston–Intercontinental,IAH,Boston,BOS,TRUE,TRUE,,
B6,Wilmington,ILM,Boston,BOS,TRUE,TRUE,TRUE,4/30/2025
B6,Jacksonville (FL),JAX,Boston,BOS,TRUE,TRUE,,
B6,New York,JFK,Boston,BOS,TRUE,TRUE,,
B6,Las Vegas,LAS,Boston,BOS,TRUE,TRUE,,
B6,Los Angeles,LAX,Boston,BOS,TRUE,TRUE,,
B6,New York–LaGuardia,LGA,Boston,BOS,TRUE,TRUE,,
B6,London–Gatwick,LGW,Boston,BOS,TRUE,TRUE,TRUE,
B6,London–Heathrow,LHR,Boston,BOS,TRUE,TRUE,,
B6,Liberia (CR),LIR,Boston,BOS,TRUE,TRUE,TRUE,
B6,Montego Bay,MBJ,Boston,BOS,TRUE,TRUE,,
B6,Orlando,MCO,Boston,BOS,TRUE,TRUE,,
B6,Miami,MIA,Boston,BOS,TRUE,TRUE,,
B6,Milwaukee,MKE,Boston,BOS,TRUE,TRUE,,
B6,New Orleans,MSY,Boston,BOS,TRUE,TRUE,,
B6,Martha's Vineyard,MVY,Boston,BOS,TRUE,TRUE,TRUE,
B6,Nassau,NAS,Boston,BOS,TRUE,TRUE,,
B6,Chicago–O'Hare,ORD,Boston,BOS,TRUE,TRUE,,
B6,Norfolk,ORF,Boston,BOS,TRUE,TRUE,TRUE,4/30/2025
B6,West Palm Beach,PBI,Boston,BOS,TRUE,TRUE,,
B6,Portland (OR),PDX,Boston,BOS,TRUE,TRUE,TRUE,
B6,Philadelphia,PHL,Boston,BOS,TRUE,TRUE,,
B6,Phoenix–Sky Harbor,PHX,Boston,BOS,TRUE,TRUE,,
