airline,origin_city,origin_iata_code,destination_city,destination_iata_code,direct,active,seasonal_route,start_date
G4,,DEN,,ABE,TRUE,TRUE,,
G4,,MLB,,ABE,TRUE,TRUE,,
G4,,MCO,,ABE,TRUE,TRUE,,
G4,,SAV,,ABE,TRUE,TRUE,TRUE,
G4,,SRQ,,ABE,TRUE,TRUE,,
G4,,FLL,,ABE,TRUE,TRUE,,
G4,,MYR,,ABE,TRUE,TRUE,,
G4,,BNA,,ABE,TRUE,TRUE,,
G4,,PGD,,ABE,TRUE,TRUE,,
G4,,SFB,,ABE,TRUE,TRUE,,
G4,,PIE,,ABE,TRUE,TRUE,,
G4,,MYR,,ALB,TRUE,TRUE,,
G4,,BNA,,ALB,TRUE,TRUE,,
G4,,PGD,,ALB,TRUE,TRUE,,
G4,,SFB,,ALB,TRUE,TRUE,,
G4,,PIE,,ALB,TRUE,TRUE,,
G4,,DEN,,ATW,TRUE,TRUE,,
G4,,EWR,,ATW,TRUE,TRUE,,
G4,,JAX,,ATW,TRUE,TRUE,,
G4,,SAV,,ATW,TRUE,TRUE,,
G4,,PDX,,ATW,TRUE,TRUE,,
G4,,SRQ,,ATW,TRUE,TRUE,,
G4,,FLL,,ATW,TRUE,TRUE,,
G4,,BNA,,ATW,TRUE,TRUE,,
G4,,LAX,,ATW,TRUE,TRUE,,
G4,,PGD,,ATW,TRUE,TRUE,,
G4,,LAS,,ATW,TRUE,TRUE,,
G4,,AZA,,ATW,TRUE,TRUE,,
G4,,SFB,,ATW,TRUE,TRUE,,
G4,,PIE,,ATW,TRUE,TRUE,,
G4,,SRQ,,AUS,TRUE,TRUE,,
G4,,SFB,,AUS,TRUE,TRUE,TRUE,
G4,,AUS,,AVL,TRUE,TRUE,,
G4,,BOS,,AVL,TRUE,TRUE,,
G4,,MDW,,AVL,TRUE,TRUE,,
G4,,HOU,,AVL,TRUE,TRUE,,
G4,,BWI,,AVL,TRUE,TRUE,,
G4,,PBI,,AVL,TRUE,TRUE,,
G4,,DEN,,AVL,TRUE,TRUE,,
G4,,EYW,,AVL,TRUE,TRUE,,
G4,,EWR,,AVL,TRUE,TRUE,,
G4,,MCO,,AVL,TRUE,TRUE,,
G4,,PHX,,AVL,TRUE,TRUE,,
G4,,SRQ,,AVL,TRUE,TRUE,,
G4,,FLL,,AVL,TRUE,TRUE,,
G4,,PGD,,AVL,TRUE,TRUE,,
G4,,LAS,,AVL,TRUE,TRUE,,
G4,,SFB,,AVL,TRUE,TRUE,,
G4,,PIE,,AVL,TRUE,TRUE,,
G4,,PDX,,AZA,TRUE,TRUE,,
G4,,LAS,,AZA,TRUE,TRUE,,
G4,,FLL,,BGR,TRUE,TRUE,,
G4,,PGD,,BGR,TRUE,TRUE,,
G4,,SFB,,BGR,TRUE,TRUE,,
G4,,PIE,,BGR,TRUE,TRUE,,
G4,,SAN,,BIL,TRUE,TRUE,TRUE,
G4,,LAX,,BIL,TRUE,TRUE,TRUE,
G4,,LAS,,BIL,TRUE,TRUE,,
G4,,AZA,,BIL,TRUE,TRUE,,
G4,,LAS,,BIS,TRUE,TRUE,,
G4,,AZA,,BIS,TRUE,TRUE,,
G4,,SFB,,BIS,TRUE,TRUE,,
G4,,PIE,,BIS,TRUE,TRUE,,
G4,,PSP,,BLI,TRUE,TRUE,,
G4,,OAK,,BLI,TRUE,TRUE,,
G4,,SAN,,BLI,TRUE,TRUE,TRUE,
G4,,LAX,,BLI,TRUE,TRUE,,
G4,,LAS,,BLI,TRUE,TRUE,,
G4,,AZA,,BLI,TRUE,TRUE,,
G4,,JAX,,BLV,TRUE,TRUE,,
G4,,SAV,,BLV,TRUE,TRUE,TRUE,
G4,,SRQ,,BLV,TRUE,TRUE,,
G4,,FLL,,BLV,TRUE,TRUE,,
G4,,MYR,,BLV,TRUE,TRUE,TRUE,
G4,,VPS,,BLV,TRUE,TRUE,,
G4,,PGD,,BLV,TRUE,TRUE,,
G4,,LAS,,BLV,TRUE,TRUE,,
G4,,AZA,,BLV,TRUE,TRUE,TRUE,
G4,,SFB,,BLV,TRUE,TRUE,,
G4,,PIE,,BLV,TRUE,TRUE,,
G4,,VPS,,BMI,TRUE,TRUE,TRUE,
G4,,SFB,,BMI,TRUE,TRUE,,
G4,,PIE,,BMI,TRUE,TRUE,,
G4,,SAV,,BNA,TRUE,TRUE,TRUE,
G4,,SRQ,,BNA,TRUE,TRUE,,
G4,,FLL,,BNA,TRUE,TRUE,,
G4,,MYR,,BNA,TRUE,TRUE,TRUE,
G4,,VPS,,BNA,TRUE,TRUE,TRUE,
G4,,PGD,,BNA,TRUE,TRUE,,
G4,,SFB,,BNA,TRUE,TRUE,,
G4,,PIE,,BNA,TRUE,TRUE,,
G4,,PSP,,BOI,TRUE,TRUE,TRUE,
G4,,SNA,,BOI,TRUE,TRUE,,
G4,,LAS,,BOI,TRUE,TRUE,,
G4,,AZA,,BOI,TRUE,TRUE,,
G4,,SRQ,,BOS,TRUE,TRUE,,
G4,,VPS,,BOS,TRUE,TRUE,,
G4,,VPS,,BWI,TRUE,TRUE,TRUE,
G4,,BNA,,BZN,TRUE,TRUE,,
G4,,LAX,,BZN,TRUE,TRUE,TRUE,
G4,,LAS,,BZN,TRUE,TRUE,,
G4,,AZA,,BZN,TRUE,TRUE,,
G4,,SAV,,CAK,TRUE,TRUE,,
G4,,SRQ,,CAK,TRUE,TRUE,,
G4,,FLL,,CAK,TRUE,TRUE,,
G4,,BNA,,CAK,TRUE,TRUE,,
G4,,PGD,,CAK,TRUE,TRUE,,
G4,,LAS,,CAK,TRUE,TRUE,,
G4,,SFB,,CAK,TRUE,TRUE,,
G4,,PIE,,CAK,TRUE,TRUE,,
G4,,LAS,,CHA,TRUE,TRUE,,
G4,,SFB,,CHA,TRUE,TRUE,,
G4,,PIE,,CHA,TRUE,TRUE,,
G4,,SRQ,,CID,TRUE,TRUE,,
G4,,FLL,,CID,TRUE,TRUE,,
