airline,origin_city,origin_iata_code,destination_city,destination_iata_code,direct,active,seasonal_route,start_date
HA,,HNL,,AUS,TRUE,TRUE,,
HA,,HNL,,BOS,TRUE,TRUE,,
HA,,HNL,,FUK,TRUE,TRUE,,
HA,,HNL,,ITO,TRUE,TRUE,,
HA,,HNL,,OGG,TRUE,TRUE,,
HA,,HNL,,KOA,TRUE,TRUE,,
HA,,HNL,,LAS,TRUE,TRUE,,
HA,,HNL,,LIH,TRUE,TRUE,,
HA,,HNL,,LGB,TRUE,TRUE,,
HA,,HNL,,LAX,TRUE,TRUE,,
HA,,HNL,,JFK,TRUE,TRUE,,
HA,,HNL,,OAK,TRUE,TRUE,,
HA,,HNL,,ONT,TRUE,TRUE,,
HA,,HNL,,PHX,TRUE,TRUE,,
HA,,HNL,,KIX,TRUE,TRUE,,
HA,,HNL,,PPG,TRUE,TRUE,,
HA,,HNL,,PPT,TRUE,TRUE,,
HA,,HNL,,PDX,TRUE,TRUE,,
HA,,HNL,,RAR,TRUE,TRUE,,
HA,,HNL,,SMF,TRUE,TRUE,,
HA,,HNL,,SLC,TRUE,TRUE,,
HA,,HNL,,SAN,TRUE,TRUE,,
HA,,HNL,,SFO,TRUE,TRUE,,
HA,,HNL,,SJC,TRUE,TRUE,,
HA,,HNL,,SEA,TRUE,TRUE,,
HA,,HNL,,ICN,TRUE,TRUE,,
HA,,HNL,,SYD,TRUE,TRUE,,
HA,,HNL,,HND,TRUE,TRUE,,
HA,,HNL,,NRT,TRUE,TRUE,,
HA,,HNL,,AKL,TRUE,TRUE,TRUE,
HA,,ITO,,HNL,TRUE,TRUE,,
HA,,ITO,,OGG,TRUE,TRUE,,
HA,,OGG,,ITO,TRUE,TRUE,,
HA,,OGG,,HNL,TRUE,TRUE,,
HA,,OGG,,KOA,TRUE,TRUE,,
HA,,OGG,,LAS,TRUE,TRUE,,
HA,,OGG,,LIH,TRUE,TRUE,,
HA,,OGG,,LGB,TRUE,TRUE,,
HA,,OGG,,LAX,TRUE,TRUE,,
HA,,OGG,,OAK,TRUE,TRUE,,
HA,,OGG,,PDX,TRUE,TRUE,,
HA,,OGG,,SMF,TRUE,TRUE,,
HA,,OGG,,SAN,TRUE,TRUE,,
HA,,OGG,,SFO,TRUE,TRUE,,
HA,,OGG,,SJC,TRUE,TRUE,,
HA,,OGG,,SEA,TRUE,TRUE,,
HA,,KOA,,HNL,TRUE,TRUE,,
HA,,KOA,,LIH,TRUE,TRUE,,
HA,,KOA,,OGG,TRUE,TRUE,,
HA,,KOA,,LAX,TRUE,TRUE,,
HA,,KOA,,SMF,TRUE,TRUE,,
HA,,LIH,,HNL,TRUE,TRUE,,
HA,,LIH,,KOA,TRUE,TRUE,,
HA,,LIH,,OGG,TRUE,TRUE,,
HA,,LIH,,LAX,TRUE,TRUE,,
HA,,LIH,,OAK,TRUE,TRUE,,
HA,,LIH,,SMF,TRUE,TRUE,,
HA,,SMF,,HNL,TRUE,TRUE,,
HA,,SMF,,OGG,TRUE,TRUE,,
HA,,SMF,,KOA,TRUE,TRUE,,
HA,,SMF,,LIH,TRUE,TRUE,,
HA,,SJC,,HNL,TRUE,TRUE,,
HA,,SJC,,OGG,TRUE,TRUE,,
HA,,SEA,,HNL,TRUE,TRUE,,
HA,,SEA,,OGG,TRUE,TRUE,,
HA,,LAS,,HNL,TRUE,TRUE,,
HA,,LAS,,OGG,TRUE,TRUE,,
HA,,AKL,,HNL,TRUE,TRUE,TRUE,
HA,,AUS,,HNL,TRUE,TRUE,,
HA,,BOS,,HNL,TRUE,TRUE,,
HA,,FUK,,HNL,TRUE,TRUE,,
HA,,LGB,,HNL,TRUE,TRUE,,
HA,,LAX,,HNL,TRUE,TRUE,,
HA,,JFK,,HNL,TRUE,TRUE,,
HA,,OAK,,HNL,TRUE,TRUE,,
HA,,ONT,,HNL,TRUE,TRUE,,
HA,,PHX,,HNL,TRUE,TRUE,,
HA,,KIX,,HNL,TRUE,TRUE,,
HA,,PPG,,HNL,TRUE,TRUE,,
HA,,PPT,,HNL,TRUE,TRUE,,
HA,,PDX,,HNL,TRUE,TRUE,,
HA,,RAR,,HNL,TRUE,TRUE,,
HA,,SLC,,HNL,TRUE,TRUE,,
HA,,SAN,,HNL,TRUE,TRUE,,
HA,,SFO,,HNL,TRUE,TRUE,,
HA,,ICN,,HNL,TRUE,TRUE,,
HA,,SYD,,HNL,TRUE,TRUE,,
HA,,HND,,HNL,TRUE,TRUE,,
HA,,NRT,,HNL,TRUE,TRUE,,
HA,,LGB,,OGG,TRUE,TRUE,,
HA,,LAX,,OGG,TRUE,TRUE,,
HA,,OAK,,OGG,TRUE,TRUE,,
HA,,PDX,,OGG,TRUE,TRUE,,
HA,,SAN,,OGG,TRUE,TRUE,,
HA,,SFO,,OGG,TRUE,TRUE,,
HA,,LAX,,KOA,TRUE,TRUE,,
HA,,LAX,,LIH,TRUE,TRUE,,
HA,,OAK,,LIH,TRUE,TRUE,,
