airline,origin_city,origin_iata_code,destination_city,destination_iata_code,direct,active,seasonal_route,start_date
SY,,MSP,,ABQ,TRUE,TRUE,TRUE,
SY,,MSP,,ANC,TRUE,TRUE,TRUE,
SY,,MSP,,AVL,TRUE,TRUE,TRUE,
SY,,MSP,,ATL,TRUE,TRUE,TRUE,
SY,,MSP,,AUS,TRUE,TRUE,TRUE,
SY,,MSP,,BWI,TRUE,TRUE,TRUE,
SY,,MSP,,BIL,TRUE,TRUE,TRUE,
SY,,MSP,,BOS,TRUE,TRUE,TRUE,
SY,,MSP,,BOI,TRUE,TRUE,TRUE,
SY,,MSP,,BZN,TRUE,TRUE,TRUE,
SY,,MSP,,BKG,TRUE,TRUE,TRUE,
SY,,MSP,,BUF,TRUE,TRUE,TRUE,
SY,,MSP,,BTV,TRUE,TRUE,TRUE,
SY,,MSP,,CHS,TRUE,TRUE,TRUE,
SY,,MSP,,CLT,TRUE,TRUE,TRUE,
SY,,MSP,,CVG,TRUE,TRUE,TRUE,
SY,,MSP,,CLE,TRUE,TRUE,TRUE,
SY,,MSP,,COS,TRUE,TRUE,TRUE,
SY,,MSP,,CMH,TRUE,TRUE,TRUE,
SY,,MSP,,VPS,TRUE,TRUE,TRUE,
SY,,MSP,,DTW,TRUE,TRUE,TRUE,
SY,,MSP,,EAU,TRUE,TRUE,TRUE,
SY,,MSP,,FLL,TRUE,TRUE,TRUE,
SY,,MSP,,GRR,TRUE,TRUE,TRUE,
SY,,MSP,,GRB,TRUE,TRUE,TRUE,
SY,,MSP,,GPT,TRUE,TRUE,TRUE,
SY,,MSP,,HRL,TRUE,TRUE,TRUE,
SY,,MSP,,BDL,TRUE,TRUE,TRUE,
SY,,MSP,,HOU,TRUE,TRUE,TRUE,
SY,,MSP,,IND,TRUE,TRUE,TRUE,
SY,,MSP,,JAC,TRUE,TRUE,TRUE,
SY,,MSP,,JAX,TRUE,TRUE,TRUE,
SY,,MSP,,FCA,TRUE,TRUE,TRUE,
SY,,MSP,,MCI,TRUE,TRUE,TRUE,
SY,,MSP,,SDF,TRUE,TRUE,TRUE,
SY,,MSP,,MSN,TRUE,TRUE,TRUE,
SY,,MSP,,MLB,TRUE,TRUE,TRUE,
SY,,MSP,,MIA,TRUE,TRUE,TRUE,
SY,,MSP,,MKE,TRUE,TRUE,TRUE,
SY,,MSP,,MSO,TRUE,TRUE,TRUE,
SY,,MSP,,MRY,TRUE,TRUE,TRUE,
SY,,MSP,,MYR,TRUE,TRUE,TRUE,
SY,,MSP,,BNA,TRUE,TRUE,TRUE,
SY,,MSP,,MHT,TRUE,TRUE,TRUE,
SY,,MSP,,MSY,TRUE,TRUE,TRUE,
SY,,MSP,,EWR,TRUE,TRUE,TRUE,
SY,,MSP,,OAK,TRUE,TRUE,TRUE,
SY,,MSP,,OMA,TRUE,TRUE,TRUE,
SY,,MSP,,PSP,TRUE,TRUE,TRUE,
SY,,MSP,,PHL,TRUE,TRUE,TRUE,
SY,,MSP,,AZA,TRUE,TRUE,TRUE,
SY,,MSP,,PIT,TRUE,TRUE,TRUE,
SY,,MSP,,PWM,TRUE,TRUE,TRUE,
SY,,MSP,,PDX,TRUE,TRUE,TRUE,
SY,,MSP,,PVD,TRUE,TRUE,TRUE,
SY,,MSP,,PGD,TRUE,TRUE,TRUE,
SY,,MSP,,RDU,TRUE,TRUE,TRUE,
SY,,MSP,,RAP,TRUE,TRUE,TRUE,
SY,,MSP,,RNO,TRUE,TRUE,TRUE,
SY,,MSP,,RIC,TRUE,TRUE,TRUE,
SY,,MSP,,STL,TRUE,TRUE,TRUE,
SY,,MSP,,PIE,TRUE,TRUE,TRUE,
SY,,MSP,,SAT,TRUE,TRUE,TRUE,
SY,,MSP,,SRQ,TRUE,TRUE,TRUE,
SY,,MSP,,SAV,TRUE,TRUE,TRUE,
SY,,MSP,,SEA,TRUE,TRUE,TRUE,
SY,,MSP,,GEG,TRUE,TRUE,TRUE,
SY,,MSP,,SYR,TRUE,TRUE,TRUE,
SY,,MSP,,TPA,TRUE,TRUE,TRUE,
SY,,MSP,,TVC,TRUE,TRUE,TRUE,
SY,,MSP,,TUS,TRUE,TRUE,TRUE,
SY,,MSP,,IAD,TRUE,TRUE,TRUE,
SY,,MSP,,PBI,TRUE,TRUE,TRUE,
SY,,LAS,,XWA,TRUE,TRUE,TRUE,
SY,,MSP,,ILM,TRUE,TRUE,TRUE,
SY,,MSP,,CUN,TRUE,TRUE,TRUE,
SY,,MSP,,CZM,TRUE,TRUE,TRUE,
SY,,MSP,,ZIH,TRUE,TRUE,TRUE,
SY,,MSP,,SJD,TRUE,TRUE,TRUE,
SY,,MSP,,MZT,TRUE,TRUE,TRUE,
SY,,MSP,,PVR,TRUE,TRUE,TRUE,
SY,,MSP,,BZE,TRUE,TRUE,TRUE,
SY,,MSP,,LIR,TRUE,TRUE,TRUE,
SY,,MSP,,AUA,TRUE,TRUE,TRUE,
SY,,MSP,,GCM,TRUE,TRUE,TRUE,
SY,,MSP,,MBJ,TRUE,TRUE,TRUE,
SY,,MSP,,PUJ,TRUE,TRUE,TRUE,
SY,,MSP,,RTB,TRUE,TRUE,TRUE,
SY,,MSP,,STT,TRUE,TRUE,TRUE,
SY,,MSP,,SJU,TRUE,TRUE,TRUE,
SY,,MSP,,SXM,TRUE,TRUE,TRUE,
SY,,MSP,,PLS,TRUE,TRUE,TRUE,
SY,,MSP,,YUL,TRUE,TRUE,TRUE,
SY,,MSP,,YYZ,TRUE,TRUE,TRUE,
SY,,MSP,,YVR,TRUE,TRUE,TRUE,
SY,,HRL,,CUN,TRUE,TRUE,TRUE,
SY,,SAT,,CUN,TRUE,TRUE,TRUE,
SY,,MKE,,CUN,TRUE,TRUE,TRUE,
SY,,MKE,,RSW,TRUE,TRUE,TRUE,
SY,,MKE,,LAS,TRUE,TRUE,TRUE,
SY,,MKE,,MSP,TRUE,TRUE,TRUE,
SY,,MKE,,MBJ,TRUE,TRUE,TRUE,
SY,,MKE,,MCO,TRUE,TRUE,TRUE,
SY,,MKE,,PHX,TRUE,TRUE,TRUE,
SY,,MKE,,PUJ,TRUE,TRUE,TRUE,
SY,,DFW,,PUJ,TRUE,TRUE,TRUE,
SY,,EAU,,MSP,TRUE,TRUE,TRUE,
SY,,EAU,,RSW,TRUE,TRUE,TRUE,
SY,,EAU,,LAS,TRUE,TRUE,TRUE,
SY,,EAU,,MCO,TRUE,TRUE,TRUE,
SY,,MCO,,EAU,TRUE,TRUE,TRUE,
SY,,MCO,,MKE,TRUE,TRUE,TRUE,
SY,,MCO,,MSN,TRUE,TRUE,TRUE,
SY,,RSW,,EAU,TRUE,TRUE,TRUE,
SY,,RSW,,MKE,TRUE,TRUE,TRUE,
SY,,RSW,,MSN,TRUE,TRUE,TRUE,
SY,,MSP,,ORD,TRUE,TRUE,,
SY,,MSP,,DFW,TRUE,TRUE,,
SY,,MSP,,DEN,TRUE,TRUE,,
SY,,MSP,,RSW,TRUE,TRUE,,
SY,,MSP,,LAS,TRUE,TRUE,,
SY,,MSP,,LAX,TRUE,TRUE,,
SY,,MSP,,JFK,TRUE,TRUE,,
SY,,MSP,,MCO,TRUE,TRUE,,
SY,,MSP,,PHX,TRUE,TRUE,,
SY,,MSP,,SLC,TRUE,TRUE,,
SY,,MSP,,SAN,TRUE,TRUE,,
SY,,MSP,,SFO,TRUE,TRUE,,
SY,,MCO,,MSP,TRUE,TRUE,,
SY,,RSW,,MSP,TRUE,TRUE,,
SY,,DFW,,PVR,TRUE,TRUE,TRUE,
SY,,DFW,,CUN,TRUE,TRUE,TRUE,
SY,,DFW,,LAS,TRUE,TRUE,TRUE,
SY,,ABQ,,MSP,TRUE,TRUE,TRUE,
SY,,ANC,,MSP,TRUE,TRUE,TRUE,
SY,,AVL,,MSP,TRUE,TRUE,TRUE,
SY,,ATL,,MSP,TRUE,TRUE,TRUE,
SY,,AUS,,MSP,TRUE,TRUE,TRUE,
SY,,BWI,,MSP,TRUE,TRUE,TRUE,
SY,,BIL,,MSP,TRUE,TRUE,TRUE,
SY,,BOS,,MSP,TRUE,TRUE,TRUE,
SY,,BOI,,MSP,TRUE,TRUE,TRUE,
SY,,BZN,,MSP,TRUE,TRUE,TRUE,
SY,,BKG,,MSP,TRUE,TRUE,TRUE,
SY,,BUF,,MSP,TRUE,TRUE,TRUE,
SY,,BTV,,MSP,TRUE,TRUE,TRUE,
SY,,CHS,,MSP,TRUE,TRUE,TRUE,
SY,,CLT,,MSP,TRUE,TRUE,TRUE,
SY,,CVG,,MSP,TRUE,TRUE,TRUE,
SY,,CLE,,MSP,TRUE,TRUE,TRUE,
SY,,COS,,MSP,TRUE,TRUE,TRUE,
SY,,CMH,,MSP,TRUE,TRUE,TRUE,
SY,,VPS,,MSP,TRUE,TRUE,TRUE,
SY,,DTW,,MSP,TRUE,TRUE,TRUE,
SY,,FLL,,MSP,TRUE,TRUE,TRUE,
SY,,GRR,,MSP,TRUE,TRUE,TRUE,
SY,,GRB,,MSP,TRUE,TRUE,TRUE,
SY,,GPT,,MSP,TRUE,TRUE,TRUE,
SY,,HRL,,MSP,TRUE,TRUE,TRUE,
SY,,BDL,,MSP,TRUE,TRUE,TRUE,
SY,,HOU,,MSP,TRUE,TRUE,TRUE,
SY,,IND,,MSP,TRUE,TRUE,TRUE,
SY,,JAC,,MSP,TRUE,TRUE,TRUE,
SY,,JAX,,MSP,TRUE,TRUE,TRUE,
SY,,FCA,,MSP,TRUE,TRUE,TRUE,
SY,,MCI,,MSP,TRUE,TRUE,TRUE,
SY,,SDF,,MSP,TRUE,TRUE,TRUE,
SY,,MSN,,MSP,TRUE,TRUE,TRUE,
SY,,MLB,,MSP,TRUE,TRUE,TRUE,
SY,,MIA,,MSP,TRUE,TRUE,TRUE,
SY,,MSO,,MSP,TRUE,TRUE,TRUE,
SY,,MRY,,MSP,TRUE,TRUE,TRUE,
SY,,MYR,,MSP,TRUE,TRUE,TRUE,
SY,,BNA,,MSP,TRUE,TRUE,TRUE,
SY,,MHT,,MSP,TRUE,TRUE,TRUE,
SY,,MSY,,MSP,TRUE,TRUE,TRUE,
SY,,EWR,,MSP,TRUE,TRUE,TRUE,
SY,,OAK,,MSP,TRUE,TRUE,TRUE,
SY,,OMA,,MSP,TRUE,TRUE,TRUE,
SY,,PSP,,MSP,TRUE,TRUE,TRUE,
SY,,PHL,,MSP,TRUE,TRUE,TRUE,
SY,,AZA,,MSP,TRUE,TRUE,TRUE,
SY,,PIT,,MSP,TRUE,TRUE,TRUE,
SY,,PWM,,MSP,TRUE,TRUE,TRUE,
SY,,PDX,,MSP,TRUE,TRUE,TRUE,
SY,,PVD,,MSP,TRUE,TRUE,TRUE,
SY,,PGD,,MSP,TRUE,TRUE,TRUE,
SY,,RDU,,MSP,TRUE,TRUE,TRUE,
SY,,RAP,,MSP,TRUE,TRUE,TRUE,
SY,,RNO,,MSP,TRUE,TRUE,TRUE,
SY,,RIC,,MSP,TRUE,TRUE,TRUE,
SY,,STL,,MSP,TRUE,TRUE,TRUE,
SY,,PIE,,MSP,TRUE,TRUE,TRUE,
SY,,SAT,,MSP,TRUE,TRUE,TRUE,
SY,,SRQ,,MSP,TRUE,TRUE,TRUE,
SY,,SAV,,MSP,TRUE,TRUE,TRUE,
SY,,SEA,,MSP,TRUE,TRUE,TRUE,
SY,,GEG,,MSP,TRUE,TRUE,TRUE,
SY,,SYR,,MSP,TRUE,TRUE,TRUE,
SY,,TPA,,MSP,TRUE,TRUE,TRUE,
SY,,TVC,,MSP,TRUE,TRUE,TRUE,
SY,,TUS,,MSP,TRUE,TRUE,TRUE,
SY,,IAD,,MSP,TRUE,TRUE,TRUE,
SY,,PBI,,MSP,TRUE,TRUE,TRUE,
SY,,XWA,,LAS,TRUE,TRUE,TRUE,
SY,,ILM,,MSP,TRUE,TRUE,TRUE,
SY,,CUN,,MSP,TRUE,TRUE,TRUE,
SY,,CZM,,MSP,TRUE,TRUE,TRUE,
SY,,ZIH,,MSP,TRUE,TRUE,TRUE,
SY,,SJD,,MSP,TRUE,TRUE,TRUE,
SY,,MZT,,MSP,TRUE,TRUE,TRUE,
SY,,PVR,,MSP,TRUE,TRUE,TRUE,
SY,,BZE,,MSP,TRUE,TRUE,TRUE,
SY,,LIR,,MSP,TRUE,TRUE,TRUE,
SY,,AUA,,MSP,TRUE,TRUE,TRUE,
SY,,GCM,,MSP,TRUE,TRUE,TRUE,
SY,,MBJ,,MSP,TRUE,TRUE,TRUE,
SY,,PUJ,,MSP,TRUE,TRUE,TRUE,
SY,,RTB,,MSP,TRUE,TRUE,TRUE,
SY,,STT,,MSP,TRUE,TRUE,TRUE,
SY,,SJU,,MSP,TRUE,TRUE,TRUE,
SY,,SXM,,MSP,TRUE,TRUE,TRUE,
SY,,PLS,,MSP,TRUE,TRUE,TRUE,
SY,,YUL,,MSP,TRUE,TRUE,TRUE,
SY,,YYZ,,MSP,TRUE,TRUE,TRUE,
SY,,YVR,,MSP,TRUE,TRUE,TRUE,
SY,,CUN,,HRL,TRUE,TRUE,TRUE,
SY,,CUN,,SAT,TRUE,TRUE,TRUE,
SY,,CUN,,MKE,TRUE,TRUE,TRUE,
SY,,LAS,,MKE,TRUE,TRUE,TRUE,
SY,,MBJ,,MKE,TRUE,TRUE,TRUE,
SY,,PHX,,MKE,TRUE,TRUE,TRUE,
SY,,PUJ,,MKE,TRUE,TRUE,TRUE,
SY,,PUJ,,DFW,TRUE,TRUE,TRUE,
SY,,LAS,,EAU,TRUE,TRUE,TRUE,
SY,,MSN,,MCO,TRUE,TRUE,TRUE,
SY,,MSN,,RSW,TRUE,TRUE,TRUE,
SY,,ORD,,MSP,TRUE,TRUE,,
SY,,DFW,,MSP,TRUE,TRUE,,
SY,,DEN,,MSP,TRUE,TRUE,,
SY,,LAS,,MSP,TRUE,TRUE,,
SY,,LAX,,MSP,TRUE,TRUE,,
SY,,JFK,,MSP,TRUE,TRUE,,
SY,,PHX,,MSP,TRUE,TRUE,,
SY,,SLC,,MSP,TRUE,TRUE,,
SY,,SAN,,MSP,TRUE,TRUE,,
SY,,SFO,,MSP,TRUE,TRUE,,
SY,,PVR,,DFW,TRUE,TRUE,TRUE,
SY,,CUN,,DFW,TRUE,TRUE,TRUE,
SY,,LAS,,DFW,TRUE,TRUE,TRUE,
