airline,origin_city,origin_iata_code,destination_city,destination_iata_code,direct,active,seasonal_route,start_date
WN,,AUS,,ABQ,TRUE,TRUE,,
WN,,BNA,,ABQ,TRUE,TRUE,,
WN,,BUR,,ABQ,TRUE,TRUE,,
WN,,BWI,,ABQ,TRUE,TRUE,,
WN,,DAL,,ABQ,TRUE,TRUE,,
WN,,DEN,,ABQ,TRUE,TRUE,,
WN,,HOU,,ABQ,TRUE,TRUE,,
WN,,LAS,,ABQ,TRUE,TRUE,,
WN,,LAX,,ABQ,TRUE,TRUE,,
WN,,LGB,,ABQ,TRUE,TRUE,,
WN,,MCI,,ABQ,TRUE,TRUE,,
WN,,MCO,,ABQ,TRUE,TRUE,,
WN,,MDW,,ABQ,TRUE,TRUE,,
WN,,OAK,,ABQ,TRUE,TRUE,,
WN,,PHX,,ABQ,TRUE,TRUE,,
WN,,SAN,,ABQ,TRUE,TRUE,,
WN,,SAT,,ABQ,TRUE,TRUE,,
WN,,BNA,,ALB,TRUE,TRUE,,
WN,,BWI,,ALB,TRUE,TRUE,,
WN,,DEN,,ALB,TRUE,TRUE,,
WN,,FLL,,ALB,TRUE,TRUE,,
WN,,LAS,,ALB,TRUE,TRUE,,
WN,,MCO,,ALB,TRUE,TRUE,,
WN,,MDW,,ALB,TRUE,TRUE,,
WN,,RSW,,ALB,TRUE,TRUE,,
WN,,TPA,,ALB,TRUE,TRUE,,
WN,,AUS,,AMA,TRUE,TRUE,,
WN,,DAL,,AMA,TRUE,TRUE,,
WN,,HOU,,AMA,TRUE,TRUE,,
WN,,LAS,,AMA,TRUE,TRUE,,
WN,,AUS,,ATL,TRUE,TRUE,,
WN,,BNA,,ATL,TRUE,TRUE,,
WN,,BWI,,ATL,TRUE,TRUE,,
WN,,CLE,,ATL,TRUE,TRUE,,
WN,,CMH,,ATL,TRUE,TRUE,,
WN,,CUN,,ATL,TRUE,TRUE,,
WN,,DAL,,ATL,TRUE,TRUE,,
WN,,DCA,,ATL,TRUE,TRUE,,
WN,,DEN,,ATL,TRUE,TRUE,,
WN,,FLL,,ATL,TRUE,TRUE,,
WN,,GSP,,ATL,TRUE,TRUE,,
WN,,HOU,,ATL,TRUE,TRUE,,
WN,,IND,,ATL,TRUE,TRUE,,
WN,,JAN,,ATL,TRUE,TRUE,,
WN,,JAX,,ATL,TRUE,TRUE,,
WN,,LAS,,ATL,TRUE,TRUE,,
WN,,LGA,,ATL,TRUE,TRUE,,
WN,,MCI,,ATL,TRUE,TRUE,,
WN,,MCO,,ATL,TRUE,TRUE,,
WN,,MDW,,ATL,TRUE,TRUE,,
WN,,MEM,,ATL,TRUE,TRUE,,
WN,,MIA,,ATL,TRUE,TRUE,,
WN,,MKE,,ATL,TRUE,TRUE,,
WN,,MSY,,ATL,TRUE,TRUE,,
WN,,OKC,,ATL,TRUE,TRUE,,
WN,,OMA,,ATL,TRUE,TRUE,,
WN,,PHL,,ATL,TRUE,TRUE,,
WN,,PHX,,ATL,TRUE,TRUE,,
WN,,PIT,,ATL,TRUE,TRUE,,
WN,,RDU,,ATL,TRUE,TRUE,,
WN,,RIC,,ATL,TRUE,TRUE,,
WN,,RSW,,ATL,TRUE,TRUE,,
WN,,SAT,,ATL,TRUE,TRUE,,
WN,,SDF,,ATL,TRUE,TRUE,,
WN,,SRQ,,ATL,TRUE,TRUE,,
WN,,STL,,ATL,TRUE,TRUE,,
WN,,TPA,,ATL,TRUE,TRUE,,
WN,,BWI,,AUA,TRUE,TRUE,,
WN,,MCO,,AUA,TRUE,TRUE,,
WN,,ABQ,,AUS,TRUE,TRUE,,
WN,,AMA,,AUS,TRUE,TRUE,,
WN,,ATL,,AUS,TRUE,TRUE,,
WN,,BNA,,AUS,TRUE,TRUE,,
WN,,BOS,,AUS,TRUE,TRUE,,
WN,,BUR,,AUS,TRUE,TRUE,,
WN,,BWI,,AUS,TRUE,TRUE,,
WN,,CHS,,AUS,TRUE,TRUE,,
WN,,CMH,,AUS,TRUE,TRUE,,
WN,,CUN,,AUS,TRUE,TRUE,,
WN,,DAL,,AUS,TRUE,TRUE,,
WN,,DCA,,AUS,TRUE,TRUE,,
WN,,DEN,,AUS,TRUE,TRUE,,
WN,,ECP,,AUS,TRUE,TRUE,,
WN,,ELP,,AUS,TRUE,TRUE,,
WN,,FLL,,AUS,TRUE,TRUE,,
WN,,HOU,,AUS,TRUE,TRUE,,
WN,,HRL,,AUS,TRUE,TRUE,,
WN,,IND,,AUS,TRUE,TRUE,,
WN,,JAX,,AUS,TRUE,TRUE,,
WN,,LAS,,AUS,TRUE,TRUE,,
WN,,LAX,,AUS,TRUE,TRUE,,
WN,,LBB,,AUS,TRUE,TRUE,,
WN,,LGB,,AUS,TRUE,TRUE,,
WN,,MAF,,AUS,TRUE,TRUE,,
WN,,MCI,,AUS,TRUE,TRUE,,
WN,,MCO,,AUS,TRUE,TRUE,,
WN,,MDW,,AUS,TRUE,TRUE,,
WN,,MIA,,AUS,TRUE,TRUE,,
WN,,MKE,,AUS,TRUE,TRUE,,
WN,,MSP,,AUS,TRUE,TRUE,,
WN,,MSY,,AUS,TRUE,TRUE,,
WN,,MTJ,,AUS,TRUE,TRUE,,
WN,,OAK,,AUS,TRUE,TRUE,,
WN,,OKC,,AUS,TRUE,TRUE,,
WN,,OMA,,AUS,TRUE,TRUE,,
WN,,ONT,,AUS,TRUE,TRUE,,
WN,,ORD,,AUS,TRUE,TRUE,,
WN,,PHX,,AUS,TRUE,TRUE,,
WN,,PIT,,AUS,TRUE,TRUE,,
WN,,PNS,,AUS,TRUE,TRUE,,
WN,,PVR,,AUS,TRUE,TRUE,,
WN,,RDU,,AUS,TRUE,TRUE,,
WN,,RNO,,AUS,TRUE,TRUE,,
WN,,SAN,,AUS,TRUE,TRUE,,
WN,,SDF,,AUS,TRUE,TRUE,,
WN,,SFO,,AUS,TRUE,TRUE,,
WN,,SJC,,AUS,TRUE,TRUE,,
WN,,SJD,,AUS,TRUE,TRUE,,
WN,,SJU,,AUS,TRUE,TRUE,,
WN,,SLC,,AUS,TRUE,TRUE,,
WN,,SMF,,AUS,TRUE,TRUE,,
WN,,SNA,,AUS,TRUE,TRUE,,
WN,,STL,,AUS,TRUE,TRUE,,
WN,,TPA,,AUS,TRUE,TRUE,,
WN,,TUL,,AUS,TRUE,TRUE,,
WN,,BNA,,BDL,TRUE,TRUE,,
WN,,BWI,,BDL,TRUE,TRUE,,
WN,,DEN,,BDL,TRUE,TRUE,,
WN,,FLL,,BDL,TRUE,TRUE,,
WN,,MCO,,BDL,TRUE,TRUE,,
WN,,MDW,,BDL,TRUE,TRUE,,
WN,,RSW,,BDL,TRUE,TRUE,,
WN,,TPA,,BDL,TRUE,TRUE,,
WN,,BNA,,BHM,TRUE,TRUE,,
WN,,BWI,,BHM,TRUE,TRUE,,
